OS Benchmark experiment
Test Name:,4.15.0-custom,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002468668,
       cpu        average:,0.002470782,
    getpid          kbest:,0.000000220,
    getpid        average:,0.000000224,
context siwtch          kbest:,0.000002934,
context siwtch        average:,0.000003414,
      send          kbest:,0.000001223,
      send        average:,0.000001447,
      recv          kbest:,0.000000617,
      recv        average:,0.000001624,
  big send          kbest:,0.000007850,
  big send        average:,0.000017168,
  big recv          kbest:,0.000015557,
  big recv        average:,0.000022482,
      fork          kbest:,0.000100201,
      fork       average:,0.000173332,
      fork    Child kbest:,0.000125308,
      fork Child average:,0.000242608,
thr create          kbest:,0.000010416,
thr create       average:,0.000018920,
thr create    Child kbest:,0.000014846,
thr create Child average:,0.000027995,
  big fork          kbest:,0.001570170,
  big fork       average:,0.002595306,
  big fork    Child kbest:,0.001633191,
  big fork Child average:,0.002695938,
 huge fork          kbest:,0.003076209,
 huge fork       average:,0.006011924,
 huge fork    Child kbest:,0.003186490,
 huge fork Child average:,0.006130577,
small write          kbest:,0.000000886,
small write        average:,0.000000939,
small read          kbest:,0.000000442,
small read        average:,0.000000462,
small mmap          kbest:,0.000000614,
small mmap        average:,0.000000653,
small munmap          kbest:,0.000001047,
small munmap        average:,0.000001079,
small page fault          kbest:,0.000000703,
small page fault        average:,0.000000727,
 mid write          kbest:,0.000005635,
 mid write        average:,0.000005828,
  mid read          kbest:,0.000002427,
  mid read        average:,0.000002556,
  mid mmap          kbest:,0.000000602,
  mid mmap        average:,0.000000627,
mid munmap          kbest:,0.000004039,
mid munmap        average:,0.000004189,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001176,
 big write          kbest:,0.000619958,
 big write        average:,0.000626037,
  big read          kbest:,0.000326725,
  big read        average:,0.000328479,
  big mmap          kbest:,0.000000632,
  big mmap        average:,0.000000678,
big munmap          kbest:,0.000101482,
big munmap        average:,0.000102242,
big page fault          kbest:,0.000001698,
big page fault        average:,0.000001786,
huge write          kbest:,0.013949335,
huge write        average:,0.014576413,
 huge read          kbest:,0.020892276,
 huge read        average:,0.021196511,
 huge mmap          kbest:,0.000000642,
 huge mmap        average:,0.000000654,
huge munmap          kbest:,0.001273796,
huge munmap        average:,0.001293634,
huge page fault          kbest:,0.000001680,
huge page fault        average:,0.000001756,
    select          kbest:,0.000000989,
    select        average:,0.000001124,
      poll          kbest:,0.000000888,
      poll        average:,0.000001101,
     epoll          kbest:,0.000000884,
     epoll        average:,0.000001023,
select big          kbest:,0.000095163,
select big        average:,0.000103613,
  poll big          kbest:,0.000094183,
  poll big        average:,0.000105385,
 epoll big          kbest:,0.000097538,
 epoll big        average:,0.000111649,
